"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.987546950E-1,2.051522732E-1,-5.179166794E-1,-3.473618627E-2
8.037124560E-1,1.926333904E-1,-4.887514114E-1,-3.989055753E-2
8.086715180E-1,1.876778603E-1,-3.931264877E-1,-7.858976722E-2
8.136305810E-1,1.167788506E-1,-3.170757294E-1,-1.319288909E-1
8.185889660E-1,4.082918167E-3,-2.721900940E-1,-1.120946258E-1
8.235022990E-1,-6.941080093E-2,-2.913675308E-1,-1.345995516E-1
8.285293830E-1,-8.221197128E-2,-3.505382538E-1,-9.486293048E-2
8.334884450E-1,-7.987594604E-2,-3.970918655E-1,-5.059979856E-2
8.384467790E-1,-3.096842766E-2,-4.551801682E-1,-1.198727787E-1
8.434058930E-1,4.328441620E-2,-5.842752457E-1,-2.716399133E-1
8.483659450E-1,9.560871124E-2,-6.499719620E-1,-1.803472042E-1
8.532544870E-1,1.110532284E-1,-6.415786743E-1,-7.138729095E-2
8.582826640E-1,1.115055084E-1,-5.928525925E-1,-4.388573766E-2
8.632425600E-1,1.340906620E-1,-4.798727036E-1,-1.768563092E-1
8.682013100E-1,1.954016685E-1,-3.720121384E-1,-2.279758453E-1
8.731612060E-1,1.901199818E-1,-3.047409058E-1,-2.546247244E-1
8.780492270E-1,1.110200882E-1,-2.752676010E-1,-2.838287354E-1
8.830799040E-1,-2.881550789E-2,-3.119621277E-1,-3.405902982E-1
8.880350600E-1,-2.018446922E-1,-3.973436356E-1,-4.534996748E-1
8.929963100E-1,-2.171394825E-1,-5.382194519E-1,-3.229857087E-1
8.979553720E-1,-1.350739002E-1,-5.462579727E-1,-2.952128649E-2
9.028963620E-1,-5.390167236E-2,-5.555448532E-1,-3.343224525E-3
9.078725600E-1,7.700443268E-2,-5.472030640E-1,-2.819335461E-2
9.128321430E-1,1.073777676E-1,-5.166625977E-1,-6.198132038E-2
9.177882370E-1,-3.166198730E-4,-4.687299728E-1,-4.715657234E-2
9.227480290E-1,-1.027557850E-1,-4.079980850E-1,-2.134001255E-2
9.276852680E-1,-2.118835449E-1,-3.439960480E-1,3.929460049E-2
9.326427680E-1,-2.920360565E-1,-2.551202774E-1,-2.913582325E-2
9.376026120E-1,-2.575678825E-1,-1.463146210E-1,-3.113842010E-2
9.425595910E-1,-1.659090519E-1,-3.681850433E-2,-5.046856403E-2
9.475217790E-1,-4.804468155E-2,7.808971405E-2,-3.462421894E-2
9.524965180E-1,8.441472054E-2,1.815624237E-1,-1.459332705E-1
9.574388100E-1,2.336692810E-1,3.067789078E-1,-1.851012707E-1
9.623954770E-1,3.094687462E-1,4.513473511E-1,-1.873831749E-1
9.673575600E-1,2.978360653E-1,5.723514557E-1,-2.197985649E-1
